Channel,State,Sales Attempts,Sales
Grand,AL,3,0
Lite,AL,15001,449
Medium,AL,836,0
Plus,AL,28648,1419
Small,AL,527,3
Grand,AZ,6228,30
Lite,AZ,5453,35
Medium,AZ,862,0
Small,AZ,683,1
Elite,CA,141,0
Grand,CA,1551,15
Lite,CA,16,0
Medium,CA,27,0
Plus,CA,58,0
Small,CA,1278,4
Elite,CO,2063,64
Grand,CO,2473,32
Lite,CO,13,0
Medium,CO,362,0
Plus,CO,78,10
Small,CO,396,0
Elite,DE,826,0
Grand,DE,686,2
Medium,DE,203,0
Grand,FL,1,0
Small,FL,1,0
Elite,GA,1536,1
Grand,GA,4244,18
Medium,GA,86,0
Plus,GA,348,3
Small,GA,2166,2
Grand,IA,405,1
Small,IA,351,0
Elite,IL,516,1
Grand,IL,1470,7
Medium,IL,127,0
Small,IL,914,1
Elite,IN,791,23
Grand,IN,1380,5
Lite,IN,43,0
Medium,IN,172,0
Plus,IN,149,1
Small,IN,667,1
Lite,KS,1738,110
Medium,KS,15413,0
Small,KS,12925,13
Elite,MD,33,0
Grand,MD,1171,2
Small,MD,1070,1
Elite,ME,1911,3
Grand,ME,10782,33
Lite,ME,7232,58
Medium,ME,1896,0
Plus,ME,1,0
Small,ME,1272,0
Elite,MS,20,0
Grand,MS,457,2
Medium,MS,3,0
Small,MS,407,0
Elite,NC,676,6
Grand,NC,1090,5
Medium,NC,167,0
Plus,NC,95,1
Small,NC,557,0
Grand,NM,1509,8
Lite,NM,1195,99
Medium,NM,212,0
Small,NM,350,3
Grand,NV,4100,16
Lite,NV,3899,389
Medium,NV,455,0
Plus,NV,1,1
Small,NV,147,0
Elite,OH,3456,25
Grand,OH,3705,19
Lite,OH,12,0
Medium,OH,749,0
Plus,OH,119,1
Small,OH,634,2
Elite,PA,1920,10
Grand,PA,2625,7
Medium,PA,288,0
Plus,PA,141,0
Small,PA,828,2
Elite,SC,761,8
Grand,SC,1803,6
Medium,SC,212,0
Plus,SC,223,4
Small,SC,1146,2
Elite,TN,395,1
Grand,TN,930,4
Medium,TN,90,0
Small,TN,527,0
Plus,TX,1,0
Elite,VA,24,0
Grand,VA,1557,12
Medium,VA,32,0
Plus,VA,7,0
Small,VA,495,0
Grand,WA,956,3
Plus,WA,88,3
Small,WA,460,1
Elite,WV,368,3
Grand,WV,575,2
Medium,WV,71,0
Small,WV,232,0
