Country,Region,,,
Afghanistan,Asia-Pacific,,,
Albania,Eastern Europe,,,
Algeria,Africa,,,
Andorra,Western Europe and Others,,,
Angola,Africa,,,
Antigua and Barbuda,Latin American and Caribbean,,,
Argentina,Latin American and Caribbean,,,
Armenia,Eastern Europe,,,
Australia,Western Europe and Others,,,
Austria,Western Europe and Others,,,
Azerbaijan,Eastern Europe,,,
Bahamas,Latin American and Caribbean,,,
Bahrain,Asia-Pacific,,,
Bangladesh,Asia-Pacific,,,
Barbados,Latin American and Caribbean,,,
Belarus,Eastern Europe,,,
Belgium,Western Europe and Others,,,
Belize,Latin American and Caribbean,,,
Benin,Africa,,,
Bhutan,Asia-Pacific,,,
Bolivia,Latin American and Caribbean,,,
Bosnia and Herzegovina,Eastern Europe,,,
Botswana,Africa,,,
Brazil,Latin American and Caribbean,,,
Brunei Darussalam,Asia-Pacific,,,
Bulgaria,Eastern Europe,,,
Burkina Faso,Africa,,,
Burundi,Africa,,,
Cabo Verde,Africa,,,
Cambodia,Asia-Pacific,,,
Cameroon,Africa,,,
Canada,Western Europe and Others,,,
Central African Republic,Africa,,,
Chad,Africa,,,
Chile,Latin American and Caribbean,,,
China,Asia-Pacific,,,
Colombia,Latin American and Caribbean,,,
Comoros,Africa,,,
Congo,Africa,,,
Costa Rica,Latin American and Caribbean,,,
Côte d'Ivoire,Africa,,,
Croatia,Eastern Europe,,,
Cuba,Latin American and Caribbean,,,
Cyprus,Asia-Pacific,,,
Czech Republic,Eastern Europe,,,
Democratic People's Republic of Korea,Asia-Pacific,,,
Democratic Republic of the Congo,Africa,,,
Denmark,Western Europe and Others,,,
Djibouti,Africa,,,
Dominica,Latin American and Caribbean,,,
Dominican Republic,Latin American and Caribbean,,,
Ecuador,Latin American and Caribbean,,,
Egypt,Africa,,,
El Salvador,Latin American and Caribbean,,,
Equatorial Guinea,Africa,,,
Eritrea,Africa,,,
Estonia,Eastern Europe,,,
Ethiopia,Africa,,,
Fiji,Asia-Pacific,,,
Finland,Western Europe and Others,,,
France,Western Europe and Others,,,
Gabon,Africa,,,
Gambia,Africa,,,
Georgia,Eastern Europe,,,
Germany,Western Europe and Others,,,
Ghana,Africa,,,
Greece,Western Europe and Others,,,
Grenada,Latin American and Caribbean,,,
Guatemala,Latin American and Caribbean,,,
Guinea,Africa,,,
Guinea-Bissau,Africa,,,
Guyana,Latin American and Caribbean,,,
Haiti,Latin American and Caribbean,,,
Honduras,Latin American and Caribbean,,,
Hungary,Eastern Europe,,,
Iceland,Western Europe and Others,,,
India,Asia-Pacific,,,
Indonesia,Asia-Pacific,,,
Iran,Asia-Pacific,,,
Iraq,Asia-Pacific,,,
Ireland,Western Europe and Others,,,
Israel,Western Europe and Others,,,
Italy,Western Europe and Others,,,
Jamaica,Latin American and Caribbean,,,
Japan,Asia-Pacific,,,
Jordan,Asia-Pacific,,,
Kazakhsta,Asia-Pacific,,,
Kenya,Africa,,,
Kiribati,Asia-Pacific,,,
Kuwait,Asia-Pacific,,,
Kyrgyzstan,Asia-Pacific,,,
Lao People's Republic,Asia-Pacific,,,
Latvia,Eastern Europe,,,
Lebanon,Asia-Pacific,,,
Lesotho,Africa,,,
Liberia,Africa,,,
Libya,Africa,,,
Liechtenstein,Western Europe and Others,,,
Lithuania,Eastern Europe,,,
Luxembourg,Western Europe and Others,,,
Macedonia,Eastern Europe,,,
Madagascar,Africa,,,
Malawi,Africa,,,
Malaysia,Asia-Pacific,,,
Maldives,Asia-Pacific,,,
Mali,Africa,,,
Malta,Western Europe and Others,,,
Marshall Islands,Asia-Pacific,,,
Mauritania,Africa,,,
Mauritius,Africa,,,
Mexico,Latin American and Caribbean,,,
Micronesia,Asia-Pacific,,,
Moldova,Eastern Europe,,,
Monaco,Western Europe and Others,,,
Mongolia,Asia-Pacific,,,
Montenegro,Eastern Europe,,,
Morocco,Africa,,,
Mozambique,Africa,,,
Myanmar,Asia-Pacific,,,
Namibia,Africa,,,
Nauru,Asia-Pacific,,,
Nepal,Asia-Pacific,,,
Netherlands,Western Europe and Others,,,
New Zealand,Western Europe and Others,,,
Nicaragua,Latin American and Caribbean,,,
Niger,Africa,,,
Nigeria,Africa,,,
Norway,Western Europe and Others,,,
Oman,Asia-Pacific,,,
Pakistan,Asia-Pacific,,,
Palau,Asia-Pacific,,,
Panama,Latin American and Caribbean,,,
