name,old_id,id,tier_ii_plus,tier_ii,tier_i,domestic_production,imports_web,imports_from,exports_web,exports_to,lat,lon,desc,source
Algeria,12,DZA,0,0,1,1,<span>South Africa</span><span>Israel</span>,"South Africa, Israel",<span>none</span>,none,28.15846284,2.617789268,"Algeria has domestic drone production and imported the medium-range Seeker II tactical drones from South Africa in 1998. Reports suggest Algeria operates Denel Dynamecs Seeker drones and is interested in obtaining U.A.E.-based Adcom Systems Yabhon United 40 Block 5 drones. Algeria has possibly purchased military drones equipment from Israel, although what exactly was purchased is unknown, however, in 2009 Israel requested export processing permits to supply Algeria with components for drones.[lv] Algeria is reportedly in discussions with China to purchase the Xianglong High Altitude Long Endurance unmanned aerial vehicle and the CH-4 which is capable of carrying two laser-guided missiles and two small guided bombs. ",
Angola,24,AGO,0,0,1,0,<span>Israel</span>,Israel,<span>none</span>,none,-12.5,18.5,Reports indicate that Angola imported Heron drones from Israel. The company Aeronautics reports selling its Aerostar Tactical Unmanned Air Vehicle System to Angola. ,
Argentina,32,ARG,0,0,1,1,<span>none</span>,none,<span>none</span>,none,-36.24315531,-63.97394506,"Argentina has domestic drone production.  It is possible that there is cooperation between Israel and Argentina, but reports are unconfirmed.",
Armenia,51,ARM,0,0,1,1,<span>none</span>,none,<span>Denmark</span>,Denmark,40.1,44.31,Armenia has domestic production of their Krunk drones which is a close reconnaissance drone.  Armenia has also agreed to export their Krunk drones to Denmark.,
Australia,36,AUS,0,0,1,1,<span>United States of America</span><span>Israel</span>,"United States of America, Israel",<span>none</span>,none,-25.73236473,134.4925719,Australia has domestic drone production and has also imported drones from the United States and Israel. Plans moving forward include purchasing the Northrop Grumman MQ-4C Triton drones.,
Austria,40,AUT,0,0,1,1,<span>none</span>,none,<span>none</span>,none,47.64759339,14.5968219,"Austria has domestic drone production.Reported plans include importing more drones, though it is unclear form where and there are recent purchases of Cassidian Tracker mini drones from a U.K. based company. ",
Azerbaijan,31,AZE,0,0,1,1,<span>Israel</span>,Israel,<span>none</span>,none,40.28904383,47.54239385,"Azerbaijan has imported drones from Israel and begun domestic production in partnership with Israeli firms. Shipments of drones from Israel continued through 2013. Reportedly purchased five Heron drones, 5 Searches, and twelve Hermes 450 from Israel.",
Belarus,112,BLR,0,0,1,0,<span>Russia</span>,Russia,<span>Vietnam</span>,Vietnam,53,28,Belarus has imported drones from Russia. Belarus President Alexander Lukashenko announced plans to begin production of drones in Turkmenistan and plans to export drones to Vietnam. ,
Belgium,56,BEL,0,0,1,1,<span>none</span>,none,<span>none</span>,none,50.71020346,4.502282528,Belgium has domestic production of drones for photogrammetry and terrain mapping and has imported RQ-5 Hunter drones from Israel.,
Bolvia,68,BOL,0,0,0,0,<span></span>,,<span></span>,,-16.290154,-63.588653,Purchased two Ucon System Remoeye-006 drones from South Korea.,
Botswana,72,BWA,0,0,1,0,<span>Israel</span>,Israel,<span>none</span>,none,-22.48287928,24.22402421,There are reports of domestic production but Botswana has also imported drones from Israel. There are reports of requests from Botswana to purchase drones from the United States.,
Brazil,76,BRA,0,0,1,1,<span>Israel</span>,Israel,<span>none</span>,none,-10.78278082,-53.093972,Brazil has domestic production of small surveillance drones but has also imported Hermes drones from Israel.  Brazil plans joint drone production with Argentina and Israel and a possible partnership with Turkey.,
Bulgaria,100,BGR,0,0,1,1,<span>none</span>,none,<span>none</span>,none,42.76853987,25.21773886,Bulgaria has signed on to be a member of NATO's Airborne Ground Surveillance Program which will give NATO five High Altitude Long Endurance drones by 2017.,
Burundi,108,BDI,0,0,1,0,<span>United States of America</span>,United States of America,<span>none</span>,none,-3.463505537,29.8396629,Burundi has drones in the form of military aid from the United States. ,
Canada,124,CAN,0,0,1,1,<span>Israel</span>,Israel,<span>France</span>,France,53.97995093,-97.55778858,"Canada produces drones domestically. Drones are also imported from Israel, namely for use in Afghanistan. At one time, Canada was considering importing drones from the United States.",
Chile,152,CHL,0,0,1,1,<span>Israel</span><span>Iran</span>,"Israel, Iran",<span>none</span>,none,-29.19288196,-70.57588386,Chile has domestic production of drones and has imported drones from Israel. There are reports of drone purchases from Iran and reports of Hermes 900 medium sized drones purchased from Israel by the navy.  Armed forces are already operating Hermes 900 drones. ,
China,156,CHN,0,1,1,1,<span>Israel</span><span>Japan</span>,"Israel, Japan",<span>Pakistan</span>,Pakistan,35.87237438,102.4081188,"China has domestic production of drones, and limited imports from Israel. There are limited imports from Japan, too, and some reports indicate that Germany has provided the engines used in Chinese drones. Another report alleges that Iran gave China access to the RQ-170 drone that went down in China. In August 2006, Japan's Yamaha Motor Company was accused of selling the RMAX helicopter drones to the Beijing Technology Company, which has ties to the Chinese People's Liberation Army (PLA), in violation of Japan's Foreign Exchange and Foreign Trade Control Law. Chinese authorities said in February 2013 that they had considered using a drone to kill a drug dealer in Myanmar who was responsible for the deaths of 13 Chinese soldiers. China also recorded the successful flight of its first stealth combat drone, the ""Sharp Sword,"" in November 2013. China unveiled the CH-4 and Yilong drones equipped with Blue Arrow-7 anti-tank missiles, which have designs similar to that of the U.S. Predator drones equipped with Hellfire missiles.[xxv] China's drone Arsenal has grown large enough to compete with the United States. Reports accuse China of hacking into U.S. drone companies and accessing information needed to ramp up their drone technologies.","WSJ: http://online.wsj.com/article/SB10001424052748703374304575622350604500556.html, Popular Science: http://www.popsci.com/technology/article/2012-12/inside-chinas-secret-arsenal, NYT: http://www.nytimes.com/2013/02/21/world/asia/chinese-plan-to-use-drones-highlights-military-advances.html, BBC: http://www.bbc.co.uk/news/world-asia-china-25033155, "
