name,old_id,id,tier_ii_plus,tier_ii,tier_i,domestic_production,imports_from,exports_to,NATO,Unsubstantiated Imports,Unsubstantiated Exports,lat,lon,desc,source
Algeria,12,DZA,0,0,1,1,"South Africa, Israel",none,0,China,,28.15846284,2.617789268,"Algeria has domestic drone production and imported the medium-range Seeker II tactical drones from South Africa in 1998. Reports suggest Algeria operates Denel Dynamecs Seeker drones and is interested in obtaining U.A.E.-based Adcom Systems Yabhon United 40 Block 5 drones. Algeria has possibly purchased military drones equipment from Israel, although what exactly was purchased is unknown, however, in 2009 Israel requested export processing permits to supply Algeria with components for drones.[lv] Algeria is reportedly in discussions with China to purchase the Xianglong High Altitude Long Endurance unmanned aerial vehicle and the CH-4 which is capable of carrying two laser-guided missiles and two small guided bombs. ","Morocco News Tribune: http://morocconewstribune.com/algerian-researchers-manufacture-algerias-first-unmanned-plane/, Institute for National Security Studies: http://inss.web2.moonsite.co.il/uploadimages/SystemFiles/israel-2012.pdf, Defense News: http://www.defensenews.com/article/20131118/DEFREG04/311180014/With-Adcom-Drone-UAE-Makes-Big-Export-Push, Dawn: http://www.dawn.com/news/1017515/british-report-reveals-israels-arms-exports-to-pakistan, Defence Web: http://www.defenceweb.co.za/index.php?option=com_content&view=article&id=33353:algeria-acquires-chinese-artillery-evaluating-drones&catid=50:Land&Itemid=105, Defence Web: http://www.defenceweb.co.za/index.php?option=com_content&view=article&id=33927:algeria-evaluating-chinese-ch-4-uav&catid=35:Aerospace"
Angola,24,AGO,0,0,1,0,Israel,none,0,,,-12.5,18.5,Reports indicate that Angola imported Heron drones from Israel. The company Aeronautics reports selling its Aerostar Tactical Unmanned Air Vehicle System to Angola. ,"Homeland Security Newswire: http://www.homelandsecuritynewswire.com/dr20121019-hezbollah-drone-represents-changing-technological-landscape-for-israel, Global Post: http://www.globalpost.com/dispatch/news/regions/middle-east/israel-and-palestine/121015/israels-drones-unmanned-and-unbound?page=0,1, Aeronautics: http://www.aeronautics-sys.com/aerostar_tactical_uav"
Argentina,32,ARG,0,0,1,1,none,none,0,Israel,,-36.24315531,-63.97394506,"Argentina has domestic drone production.  It is possible that there is cooperation between Israel and Argentina, but reports are unconfirmed.","CSM: http://www.csmonitor.com/World/Americas/2011/0420/Spread-of-drone-programs-in-Latin-America-sparks-calls-for-code-of-conduct, ASCOA: http://www.as-coa.org/articles/explainer-drones-latin-america, WorldCrunch: http://www.worldcrunch.com/culture-society/no-man-039-s-air-military-and-police-drones-proliferate-in-latin-america/drones-latin-america-police-crime/c3s14234/#.UtVt_bT7O8E "
Armenia,51,ARM,0,0,1,1,none,Denmark,0,,,40.1,44.31,Armenia has domestic production of their Krunk drones which is a close reconnaissance drone.  Armenia has also agreed to export their Krunk drones to Denmark.,"News Am: http://news.am/eng/news/121584.html, Pan Armenian: http://www.panarmenian.net/eng/news/170824/"
Australia,36,AUS,0,1,1,1,"United States, Israel",none,0,,,-25.73236473,134.4925719,Australia has domestic drone production and has also imported drones from the United States and Israel. Plans moving forward include purchasing the Northrop Grumman MQ-4C Triton drones.,"ABC: http://www.abc.net.au/news/2012-06-08/australias-drones-war-in-afghanistan/4058058, Bloomberg: http://www.bloomberg.com/news/2010-07-20/general-atomics-gains-approval-to-sell-predator-drones-to-pakistan-egypt.html, Library of Congress: http://www.uadrones.net/military/research/acrobat/0611.pdf, School of Advanced Military Studies: http://www.hsdl.org/?view&did=697903, NASA: https://www.nasa.gov/centers/dryden/pdf/111761main_UAV_Capabilities_Assessment.pdf, Flight Global: http://www.flightglobal.com/news/articles/australian-interest-in-mq-4c-triton-moves-forward-385973/, ABC: http://www.abc.net.au/news/2012-09-04/australia-moves-to-buy-spy-drones/4236544"
Austria,40,AUT,0,0,1,1,none,none,0,,,47.64759339,14.5968219,"Austria has domestic drone production. Reported plans include importing more drones, though it is unclear from where and there are recent purchases of Cassidian Tracker mini drones from a U.K. based company. ","NYT: http://www.nytimes.com/2014/02/17/business/international/competition-fierce-for-sales-of-unarmed-drones.html?_r=0, AP: http://www.huffingtonpost.com/2012/06/04/austria-drones_n_1569352.html, Airbus Defense and Space: http://www.defenceandsecurity-airbusds.com/pl_PL/web/guest/austrian-armed-forces-select-the-tracker-mini-uas, Schiebel: http://www.schiebel.net/Products/Unmanned-Air-Systems/CAMCOPTER-S-100/Introduction.aspx"
Azerbaijan,31,AZE,0,1,1,1,Israel,none,0,,,40.28904383,47.54239385,"Azerbaijan has imported drones from Israel and begun domestic production in partnership with Israeli firms. Shipments of drones from Israel continued through 2013. Reportedly purchased five Heron drones, 5 Searches, and twelve Hermes 450 from Israel.","AP: http://www.haaretz.com/news/diplomacy-defense/israel-signs-1-6-billion-arms-deal-with-azerbaijan-1.414916, Global Post: http://www.globalpost.com/dispatch/news/regions/europe/121022/drones-violence-along-armenian-azerbaijani-border-could-lead-war, Global Post: http://www.globalpost.com/dispatch/news/regions/middle-east/israel-and-palestine/121015/israels-drones-unmanned-and-unbound?page=0,1, Karabakh: http://www.karabakh.org/news/analysis/azerbaijan-steps-up-national-drones-production/, UPI: http://www.upi.com/Business_News/Security-Industry/2011/10/07/Azeris-get-Israel-Drones-built-under-license/UPI-45671318007974/, UPI: http://www.upi.com/Business_News/Security-Industry/2012/03/20/Russia-to-build-mini-DRONES-drones/UPI-67911332274228/, Israel's Homeland Security Home: http://i-hls.com/2013/06/more-israeli-made-uas-to-azerbaijan/"
Belarus,112,BLR,0,0,1,0,Russia,Vietnam,0,,,53,28,Belarus has imported drones from Russia. Belarus President Alexander Lukashenko announced plans to begin production of drones in Turkmenistan and plans to export drones to Vietnam. ,"UPI: http://www.upi.com/Business_News/Security-Industry/2012/03/20/Russia-to-build-mini-DRONES-drones/UPI-67911332274228/, RFE/RL: http://www.rferl.org/content/belarus-turkmenisan-drones/25159726.html, Defense News: http://www.defensenews.com/article/20131106/DEFREG01/311060024, Thanh Nien News: http://www.thanhniennews.com/index/pages/20130517-vietnam-to-buy-unmanned-aerial-vehicles-from-belarus.aspx"
Belgium,56,BEL,0,0,1,1,"United States, Israel",none,0,,,50.71020346,4.502282528,"Belgium has domestic production of drones for photogrammetry and terrain mapping and has imported RQ-5 Hunter drones, jointly produced by the US and Israel. Belgium had plans to develop a HALE research drone but the current status of the program is unknown.  ","Trimble: http://www.trimble.com/news/release.aspx?id=040612a, Flight Global: http://www.flightglobal.com/news/articles/un-seeks-unmanned-aircraft-for-use-in-dr-congo-381242/, Inter-Commission Working Group: http://www.geometh.ethz.ch/uav_g/proceedings/everaerts"
Bolvia,68,BOL,0,0,0,0,South Korea,none,0,,,-16.290154,-63.588653,Purchased two Ucon System Remoeye-006 drones from South Korea.,"COHA: http://www.coha.org/coha-report-drones-in-latin-america/, Defense Market Intelligence: http://dmilt.com/index.php?option=com_content&id=6917:bolivia-air-force-receives-skorean-designed-uav&Itemid=58"
